,ADULTO,NU_IDADE,NOTA_TOTAL,TP_COR_RACA_DESC,TP_LINGUA_DESC,Q024_DESC,Q025_DESC
1184791,Jovem,18.0,2740.4,Parda,Espanhol,Não,Sim
687059,Jovem,18.0,,Parda,Espanhol,Não,Sim
132426,Jovem,17.0,,Parda,Espanhol,Não,Sim
587650,Jovem,16.0,2809.7,Parda,Espanhol,"Sim, um",Sim
485597,Jovem,17.0,2642.8,Não declarado,Inglês,"Sim, um",Sim
658263,Adulto,20.0,1618.9,Parda,Espanhol,Não,Sim
347758,Jovem,18.0,2565.5,Parda,Inglês,Não,Não
879975,Jovem,16.0,,Branca,Espanhol,"Sim, três",Sim
926865,Jovem,17.0,2518.1000000000004,Branca,Espanhol,"Sim, um",Sim
201271,Jovem,18.0,3266.2999999999997,Branca,Inglês,"Sim, um",Sim
260477,Jovem,17.0,2963.7,Parda,Espanhol,"Sim, um",Sim
818419,Adulto,19.0,,Parda,Espanhol,Não,Não
464699,Jovem,17.0,2987.3999999999996,Branca,Inglês,"Sim, dois",Sim
234958,Jovem,17.0,2947.0,Branca,Inglês,"Sim, um",Sim
1114903,Jovem,18.0,2073.1000000000004,Branca,Espanhol,Não,Não
520321,Jovem,17.0,2770.0,Parda,Espanhol,"Sim, um",Sim
962118,Jovem,17.0,2837.8,Branca,Inglês,"Sim, um",Sim
329925,Jovem,18.0,2332.8999999999996,Preta,Inglês,"Sim, dois",Não
148733,Jovem,17.0,,Parda,Inglês,Não,Sim
632635,Jovem,17.0,2736.6,Branca,Inglês,"Sim, um",Sim
991324,Jovem,18.0,2100.2,Branca,Inglês,Não,Não
134891,Adulto,31.0,1918.4,Parda,Espanhol,"Sim, um",Sim
420785,Jovem,17.0,,Parda,Espanhol,Não,Não
164057,Adulto,27.0,,Preta,Inglês,Não,Sim
266079,Jovem,18.0,3323.4,Branca,Inglês,Não,Sim
233863,Jovem,18.0,2649.6,Parda,Espanhol,"Sim, um",Sim
59950,Jovem,18.0,2862.2,Parda,Inglês,Não,Sim
228062,Jovem,17.0,2760.1,Branca,Inglês,Não,Sim
283840,Jovem,17.0,2024.5,Branca,Inglês,"Sim, um",Sim
354579,Adulto,21.0,,Branca,Espanhol,Não,Não
1096668,Jovem,17.0,2115.1,Parda,Espanhol,Não,Não
999125,Jovem,18.0,2443.2,Branca,Inglês,Não,Não
405305,Jovem,18.0,3081.5,Parda,Inglês,Não,Não
27627,Jovem,18.0,2662.2,Indígena,Espanhol,Não,Não
1079029,Adulto,19.0,2852.3999999999996,Branca,Espanhol,"Sim, três",Sim
879320,Jovem,17.0,,Parda,Inglês,Não,Sim
361304,Jovem,18.0,2605.5,Parda,Espanhol,Não,Sim
1030774,Jovem,17.0,2613.4,Branca,Inglês,"Sim, um",Sim
1052084,Jovem,18.0,3404.6,Branca,Espanhol,"Sim, dois",Sim
594139,Jovem,18.0,3307.0,Branca,Inglês,"Sim, um",Sim
931833,Jovem,17.0,2753.8,Branca,Inglês,"Sim, um",Sim
119603,Adulto,20.0,,Parda,Espanhol,Não,Não
79871,Jovem,18.0,2688.6,Branca,Inglês,"Sim, um",Sim
166852,Jovem,18.0,3649.0,Branca,Inglês,"Sim, um",Sim
733018,Jovem,17.0,3091.5,Branca,Inglês,"Sim, um",Sim
1151614,Jovem,18.0,3113.7000000000003,Branca,Inglês,"Sim, um",Sim
2885,Jovem,17.0,2501.1,Parda,Espanhol,"Sim, um",Sim
280596,Jovem,18.0,2650.1,Branca,Inglês,Não,Sim
131486,Jovem,18.0,2527.8999999999996,Parda,Inglês,Não,Não
339421,Jovem,18.0,,Parda,Espanhol,Não,Sim
1010894,Adulto,19.0,2042.1999999999998,Branca,Inglês,Não,Sim
816957,Jovem,17.0,2194.9,Branca,Inglês,Não,Não
1104908,Jovem,17.0,,Parda,Inglês,"Sim, um",Sim
566677,Adulto,21.0,,Parda,Espanhol,Não,Não
914810,Jovem,17.0,2862.0,Branca,Espanhol,"Sim, um",Sim
317966,Jovem,18.0,,Parda,Espanhol,"Sim, um",Sim
250592,Jovem,17.0,,Parda,Inglês,Não,Sim
199763,Jovem,17.0,2103.1,Branca,Espanhol,"Sim, um",Sim
134447,Jovem,17.0,2000.3000000000002,Parda,Espanhol,"Sim, um",Sim
699704,Jovem,18.0,2425.5,Parda,Espanhol,"Sim, um",Sim
617093,Jovem,18.0,1884.9,Branca,Inglês,"Sim, um",Sim
639140,Jovem,17.0,2649.9,Preta,Espanhol,Não,Sim
931565,Jovem,17.0,2614.7,Parda,Inglês,Não,Sim
597962,Jovem,17.0,,Branca,Espanhol,Não,Sim
268036,Jovem,17.0,,Parda,Espanhol,Não,Não
1174190,Jovem,18.0,1932.1,Indígena,Espanhol,Não,Não
490844,Jovem,17.0,2300.8,Branca,Espanhol,Não,Sim
737603,Jovem,17.0,2792.1000000000004,Branca,Espanhol,Não,Não
244069,Jovem,18.0,3085.9,Parda,Inglês,"Sim, um",Sim
30544,Jovem,18.0,3190.3,Branca,Inglês,"Sim, um",Sim
220807,Jovem,17.0,2454.7,Branca,Espanhol,Não,Sim
942990,Jovem,18.0,2453.4,Branca,Espanhol,"Sim, um",Não
779649,Jovem,17.0,2054.1,Parda,Inglês,Não,Sim
539124,Adulto,19.0,,Parda,Espanhol,Não,Sim
521945,Jovem,17.0,2521.9,Preta,Inglês,"Sim, um",Sim
834161,Adulto,25.0,,Parda,Espanhol,Não,Sim
637267,Jovem,17.0,2115.0,Parda,Espanhol,"Sim, um",Sim
935011,Jovem,17.0,3048.8,Branca,Inglês,"Sim, um",Sim
993393,Jovem,18.0,2510.0,Parda,Inglês,Não,Sim
135093,Jovem,17.0,2535.0,Parda,Espanhol,"Sim, um",Sim
392602,Adulto,19.0,2434.6,Parda,Espanhol,Não,Sim
216733,Jovem,18.0,2521.7,Parda,Inglês,"Sim, um",Sim
382943,Jovem,18.0,2312.4,Parda,Espanhol,Não,Sim
568594,Adulto,19.0,2293.6,Parda,Inglês,Não,Não
1234122,Adulto,24.0,,Parda,Espanhol,Não,Não
841869,Jovem,17.0,2340.6,Parda,Espanhol,Não,Sim
203781,Jovem,18.0,2149.6,Parda,Espanhol,Não,Não
241876,Jovem,17.0,2611.0,Parda,Espanhol,Não,Sim
949309,Jovem,18.0,2413.6,Branca,Espanhol,"Sim, um",Sim
198635,Jovem,17.0,2692.0,Branca,Inglês,Não,Sim
284708,Jovem,18.0,2810.4,Parda,Inglês,"Sim, dois",Sim
